Smell;Origin Tool;Type;Rule;Description
Long Parameter List;DesigniteJava;Abstraction;#Parameters >= 5 OR ParameterCount > AVG(ParameterCount) AND ParameterCount > 3;This smell arises when a method or function has a large number of parameters, making it hard to understand the purpose of the function and how the parameters are used.
Long Statement;DesigniteJava;Abstraction;Length(Statement) > 120;This smell arises when a statement or expression becomes too complex and difficult to understand, often due to the use of many nested conditions or a large number of operators.
Magic Number;DesigniteJava;Abstraction;For all the literals in the method, check if they are valid (check what is magic number below);This smell arises when a hard-coded number is used in the code without an explanation or clear meaning.
Missing default;DesigniteJava;Abstraction;In a switch-case structure in M, it doesn't include the default case;This smell arises when a class or function does not have a default case for a switch statement or a default branch for an if-else statement.
Lazy Class;Organic;Abstraction;CLOC < CLOCFirstQuartile;This smell arises when a class does not have a single, well-defined responsibility and often contains methods that should be in other classes.
Swiss Army Knife;Organic;Abstraction;InterfaceMethodDeclarationCount > VeryHighInterfaceMethodDeclarationCount;This smell arises when a class has many responsibilities and functionality, making it difficult to understand and maintain.
Data Class;Organic;Modularization;(((NOPA + NOAM) > Few AND WMC < HighWMC) OR (NOPA + NOAM) > Many AND WMC < VeryHighWMC)) AND WOC < OneThird;This smell arises when a class  primarily contains properties and does not have any significant behavior.
Complex Class;Organic;Abstraction;CC > 10;This smell arises when a class becomes overly complex, with many methods and properties that perform a variety of different tasks.
Refused Bequest;Organic;Hierarchy;OverrideRatio > 0.5 ;This smell arises when a subclass does not use or override methods or properties that are inherited from its superclass, effectively 'refusing' the inheritance.
Spaghetti Code;Organic;Abstraction;LongMethodsConnected > 2;This smell arises when the codebase is poorly structured and difficult to understand, often characterized by a lack of modularity and a high degree of interdependence between different parts of the code.
Large Class;Organic;Abstraction;CLOC > VeryHighCLOC;This smell arises when a class has grown too large and contains too many methods or properties, making it difficult to understand and maintain.
Class Data Should Be Private;Organic;Encapsulation;PublicFieldCount >= 1;This smell arises when class data is exposed publicly, rather than being kept private and only accessible through methods.
God Class;Organic;Modularization;CLOC > 500 AND TCC < AVG(TCC);This smell arises when a class has too many responsibilities, and becomes too large and complex to understand and maintain.
Speculative Generality;Organic;Hierarchy;IsAbstractChildrenCount < 3;This smell arises when code is implemented with the idea of possible future requirements that may or may not actually happen.
Brain Class;Organic;Modularization;((BrainMethodCount > 1 AND LOC >= VeryHighCLOC) OR (BrainMethodCount = 1 AND LOC >= TwiceVeryHighCLOC AND WMC >= TwiceVeryHighWMC)) AND (WMC >= VeryHighWMC AND TCC < Half);This smell arises when a class or module contains too much complex logic or calculations, and becomes difficult to understand and maintain.
Brain Method;Organic;Modularization;MLOC > high(CLOC)/2 AND CC > high(CC) AND MaxNesting > 5.0 AND NOAV > 6.0;This smell arises when a method has too much complex logic or calculations, and becomes difficult to understand and maintain.
Dispersed Coupling;Organic;Modularization;CINT > 8.0 AND CDISP > 0.5 AND MaxNesting > 1.0;This smell arises when classes or modules are tightly coupled, but the dependencies are spread out across multiple methods or properties, rather than being localized in a single place.
Intensive Coupling;Organic;Modularization;(CINT > 8.0 OR CDISP < 0.25) AND MaxNesting > 1.0;This smell arises when classes or modules are overly dependent on one another, making it difficult to understand and maintain.
Message Chain;Organic;Abstraction;MaxCallChain > 3;This smell arises when an object sends a message to another object and the second one sends another message to another object and so on, leading to a chain of message passing that can make the code hard to follow and understand.
Shotgun Surgery;Organic;Abstraction;CM > 8.0 AND CC > 6.0;This smell arises when a small change in the codebase requires a large number of classes or modules to be modified
